CB Captura,EAN MUNI,Producto,Factor de Conversión
7506195100233,7506195100233,Crema Dental Crest Complete 4En1 50 ml,1
7506306215689,7506306215689,Gel EGO Tarro Control Caída 200 ml,1
7501027293473,7501027293473,Desodorante Obao Roll On Hombre Audaz 65 g,1
40056808803019,40056808803019,Crema De Tocador Nivea Normal 250 ml,1
7509546073781,7509546073781,Desodorante Stefano Aerosol Midnight 113 g,1
7501035900264,7501035900264,Desodorante Stefano Roll On Black 50 ml,1
7506192501033,7506192501033,Shampoo Savile Rizos Radiantes/Linaza 750 ml,1
7509546073767,7509546073767,Desodorante Stefano Aerosol Black 113 g,1
7506192504065,7506192504065,Crema Para Peinar Savile Liso Keratina 300 ml,1
7506192504461,7506192504461,Crema Para Peinar Savile Rizo Aceite Argan 300 ml,1
7509552909678,7509552909678,Crema Para Peinar Fructis Stop Caída 300 ml,1
7506306213517,7506306213517,Crema Para Peinar Savile Antiesponjado Almendras 300 ml,1
7501086454136,7501086454136,Cepillo Dental Pro Plus Anticaries 2 Pz,1
7501001170288,7501001170288,Shampoo Pantene 2En1 Clásico 200 ml,1
7506192506151,7506192506151,Crema Para Peinar Savile Liso Colágeno 300 ml,1
7506306210523,7506306210523,Shampoo Sedal Co-Creations Argan 340 ml,1
7506192506168,7506192506168,Crema Para Peinar Savile Rizo Colágeno 300 ml,1
7506306215405,7506306215405,Crema Para Peinar Savile Rizo Leche De Coco 300 ml,1
7506192505543,7506192505543,Crema Para Peinar Savile Rizo Aceite Biotina 300 ml,1
7506192505529,7506192505529,Crema Para Peinar Savile Antiesponjado Biotina 300 ml,1
3014260014445,3014260014445,Cepillo Dental ORAL-B Complete Limpieza Superior #40 2 unid,1
7506306204829,7506306204829,Shampoo Sedal Hidratación Ligera 340 ml,1
7506306204966,7506306204966,Shampoo Sedal Brillo/Suavidad 340 ml,1
7506192506144,7506192506144,Crema Para Peinar Savile Antiesponjado Colágeno 300 ml,1
7509546072753,7509546072753,Shampoo Caprice Control Quiebre 750 ml,1
7501056360412,7501056360412,Talco Rexona Efficient 100 g,1
97339000054,97339000054,Salsa Valentina Pequeña 370 ml,1
7501055361540,7501055361540,Refresco Coca Cola Lata 355 ml,1
41789001956,41789001956,Sopa Maruchan Camarón 64 g,1
7501006559002,7501006559002,Palomitas ACT II Naturales 80 g,1
7501006559019,7501006559019,Palomitas ACT II Mantequilla 80 g,1
10900000406,10900000406,Aluminio Reynolds Aluminio 24/7.6 X 30Cm 1 unid,1
7501017004294,7501017004294,Frijol La Costeña Negro 560 g,1
7501017005000,7501017005000,Jalapeños Enteros La Costeña Enlatados Medianos En Vinagre 220 g,1
7501017005611,7501017005611,Puré Del Fuerte De Tomate Pequeño 210 g,1
7501003184078,7501003184078,Miel Carlota De Abeja Pequeña 300 g,1
7501023606642,7501023606642,Atún Nair En Agua 130 g,1
7501003127600,7501003127600,Salsa Herdez Verde Botella 240 g,1
7501001604318,7501001604318,Salsa Crosse & Blackwell Inglesa 145 g,1
97339000061,97339000061,Salsa Valentina Negra Pequeña 370 ml,1
7501003123213,7501003123213,Champiñón Herdez Enlatados 186 g,1
7501018310103,7501018310103,Pasta La Moderna Spaghetti Corto 200 g,1
7501003390400,7501003390400,Aceitunas Búfalo Enfrascadas 240 g,1
7501001604110,7501001604110,Salsa MAGGI Jugo 200 ml,1
7501005181365,7501005181365,Sazonador Knorr 8 Cubos 1 unid,1
7501005105873,7501005105873,Arroz Knorr A La Poblana 155 g,1
7501003336125,7501003336125,Mermelada McCormick De Fresa En Frasco 270 g,1
7501059284388,7501059284388,Chocolate Morelia En Polvo 700 g,1
758104001712,758104001712,Agua Bonafont Pequeña 600 ml,1
633148100013,633148100013,Chile Tajín En Polvo 142 g,1
